"gene","lfc","padj","logpadj","direction"
"SRRL",1.34663696383481,0.0754885452813832,1.12211894371522,"bldg"
"GFPT1",1.29846639695827,0.0969082760207924,1.01363913237459,"bldg"
"LOC107055704",1.29514938179799,0.00315188367360715,2.50142981936864,"bldg"
"SH3RF2",1.29094604322049,0.0138031994194399,1.86002023757254,"bldg"
"SCO2",1.28417246703382,0.000334275115017583,3.47589595308979,"bldg"
"LRRK1",1.26730614629686,1.07134180892111e-05,4.97007194649292,"bldg"
"RASSF5",1.25273799129398,1.372486077671e-07,6.86249205228503,"bldg"
"RTN4RL2",1.25051509423992,0.00184229421463635,2.73464101171267,"bldg"
"SRCIN1",1.24711746181595,0.00326524413023132,2.48608434258226,"bldg"
"TPBG",1.24574163955181,1.11806748736796e-05,4.95153198132713,"bldg"
"DCAF6",1.24129694383822,0.0293295518230215,1.5326945733057,"bldg"
"LMO7",1.23855992295755,0.057054666305335,1.24370883033808,"bldg"
"TUT1",1.23452856968137,0.0142209211094014,1.84707227282041,"bldg"
"LHX8",1.23155619987399,0.0211180374092397,1.6753464451317,"bldg"
"ARSI",1.22998410888795,0.0947783109466982,1.02329103517096,"bldg"
"MARCKS",1.22664174717968,2.73414445501466e-17,16.5631785437702,"bldg"
"PHOSPHO1",1.21480021308882,0.0754078602687309,1.12258338233427,"bldg"
"PIGL",1.21235089288797,6.97677149081018e-05,4.15634550117241,"bldg"
"LOC426385",1.2115206357712,0.091858934895477,1.03687859453424,"bldg"
"ZNRF2",1.20662943561433,0.00182150624492619,2.73956933546662,"bldg"
"LOC107056903",1.20609688011282,0.0022778266969868,2.64247932126018,"bldg"
"LOC107052863",1.20593393730842,8.81748217640136e-06,5.0546554095395,"bldg"
"LPHN3",1.19403369657807,0.000426689729134923,3.36988781093425,"bldg"
"DRD1",1.18493212456312,0.00186442813440047,2.72945435214436,"bldg"
"LOC100858798",1.180289337725,0.0758249679355394,1.12018776466941,"bldg"
"LOC107050672",1.16882511783828,8.35487344188608e-06,5.07806012433514,"bldg"
"ECM1",1.15837331354303,0.000340073882457709,3.46842672043436,"bldg"
"IGF1",1.14083861022093,0.000445994458851029,3.35067053703981,"bldg"
"TNFSF13B",1.14034527764686,0.0547145010474862,1.26189755684235,"bldg"
"WNT9A",1.13066938128728,0.00326524413023132,2.48608434258226,"bldg"
"TUSC5",1.12322136953382,1.87897495603664e-07,6.72607900836545,"bldg"
"TMEM158",1.11883188021592,5.77160726210414e-06,5.23870322880932,"bldg"
"CKAP2",1.11854557392966,9.91684059923394e-05,4.0036266674492,"bldg"
"VTG1",1.11480266555263,0.0874963012268168,1.05801030572895,"bldg"
"PEX11G",1.11093100357056,0.00286680873190026,2.54260128139996,"bldg"
"GDA",1.10460203982687,0.00124013209175482,2.90653205381766,"bldg"
"CCDC71L",1.10158162359641,0.00138275718097918,2.85925407746083,"bldg"
"SLC24A2",1.101484531263,0.000715161203619815,3.14559605337159,"bldg"
"FIGN",1.10027706624908,0.00651614657776789,2.18600915499585,"bldg"
"HTR4",1.09799836743356,0.00285992946668385,2.54364467757296,"bldg"
"C17ORF89",1.08925869987522,0.0872910222435708,1.05903042056216,"bldg"
"PDE1A",1.07888035197369,0.00379678355808604,2.42058415982837,"bldg"
"MYO18B",1.07745950840217,0.0406525312483909,1.3909124076841,"bldg"
"CHST7",1.07605597592289,0.00161565712025832,2.79165080109844,"bldg"
"AKAP5",1.07484258111339,0.0101270332413679,1.99451776447315,"bldg"
"LECT1",1.07333551097954,0.0206951275242529,1.68413189311397,"bldg"
"HNF4A",1.07069576432787,0.00621715865852207,2.20640804953044,"bldg"
"ENDOV",1.06968937910193,0.0265529662318455,1.57588695683613,"bldg"
"MCTP2",1.06290056866359,0.00177093693595829,2.75179690400076,"bldg"
"ATRAID",1.05022336351687,0.000134410955089332,3.87156533291202,"bldg"
"PANX3",1.04939879017326,0.0655828171931595,1.18320993159522,"bldg"
"ZNF516",1.04717540259434,3.07031459372022e-14,13.5128171231167,"bldg"
"TMEM132A",1.04598781105057,1.96775525006831e-05,4.70602892021104,"bldg"
"ERMARD",1.04130360603596,0.0523052292546222,1.28145489004479,"bldg"
"KIF23",1.04006586381939,0.0986277998445005,1.0060006548623,"bldg"
